domain,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,kappa_RF_XGB,kappa_RF_ET,kappa_XGB_ET,kappa_mean,full_agreement_rate,f1_RF,f1_XGB,f1_ET
Tabular,pairflip,0.4,2,24.77,60.66994595527649,0.768898263735341,0.8698726872809301,0.7440669136695761,0.7942792882286157,0.79,0.692254053274174,0.6876058378645321,0.6772057045631665
Tabular,pairflip,0.4,3,24.54,60.62140202522278,0.7717613036910177,0.8599423115880107,0.7437264371242573,0.7918100174677619,0.78725,0.6994360182433726,0.6874052200243164,0.6701879554453638
Tabular,pairflip,0.4,4,24.52875,60.71025896072388,0.771930552396631,0.8586158090058637,0.737212518113655,0.7892529598387165,0.78465,0.6900858245734077,0.6949578674901993,0.6684939418944396
Image,symmetric,0.0,0,0.0,78.56957769393921,0.9333464683574935,0.9604776958857345,0.9316279993077542,0.9418173878503273,0.9231481481481482,0.9037211471257974,0.935658654021686,0.9038806465652
Image,symmetric,0.0,1,0.0,82.49764037132263,0.9395186950700269,0.9590994799387914,0.9408881040491563,0.946502093019325,0.9302469135802469,0.9107144278188934,0.9381876533583078,0.9104459843819166
Image,symmetric,0.0,2,0.0,80.98623609542847,0.9408830687084752,0.9632145445794454,0.9377868040638656,0.9472948057839288,0.9299382716049382,0.9098141499402914,0.9394035667132836,0.9100692565656899
Image,symmetric,0.0,3,0.0,81.18642520904541,0.9316086426666138,0.9590821479261645,0.9292014596311802,0.9399640834079861,0.9203703703703704,0.8920407741588887,0.9280885584118452,0.8951958776208103
Image,symmetric,0.0,4,0.0,81.73164319992065,0.9254040296762691,0.955975139201871,0.9264272702114908,0.9359354796965437,0.9154320987654321,0.8954820501867667,0.9329371477785688,0.8993355626881107
Image,symmetric,0.1,0,10.339506172839506,104.142333984375,0.928535366308739,0.9553315724018262,0.9237264114479098,0.9358644500528249,0.9157407407407407,0.9022961018477187,0.935482975333579,0.8954580497351401
Image,symmetric,0.1,1,10.501543209876543,103.98733854293823,0.935055018059363,0.9546435529216878,0.9336785375423895,0.9411257028411467,0.9228395061728395,0.9102094853954812,0.9343657330278144,0.9085806404095742
Image,symmetric,0.1,2,10.123456790123457,102.8063292503357,0.9333217917318003,0.964592286631445,0.9329794475609792,0.9436311753080749,0.9253086419753086,0.9062203684620812,0.9392334562742685,0.9097055075038536
Image,symmetric,0.1,3,9.62962962962963,102.08313226699829,0.9302261264605312,0.9528891032330209,0.9271284516992062,0.936747893797586,0.9169753086419753,0.8917735991370339,0.9236979391443819,0.8928169175242868
Image,symmetric,0.1,4,10.154320987654321,100.94346213340759,0.9281679441866326,0.9573591363484494,0.9281604988408672,0.937895859791983,0.9179012345679012,0.8966231531533216,0.9370021706039946,0.9008244756851642
Image,symmetric,0.2,0,20.66358024691358,109.66940069198608,0.9268262503033797,0.9556781134121108,0.9257975223641733,0.9361006286932213,0.9157407407407407,0.9046447703411123,0.9286147044283035,0.8972110032667746
Image,symmetric,0.2,1,20.239197530864196,109.56788516044617,0.9298949962893011,0.957728708297645,0.928524156187955,0.9387159535916337,0.9191358024691358,0.9059553425858884,0.9348524054760006,0.9069586845168363
Image,symmetric,0.2,2,19.405864197530864,105.80481171607971,0.936425240261469,0.9577275469757567,0.9316187683763424,0.9419238518711893,0.9237654320987654,0.9088805853223073,0.9341209612967967,0.9074626845260895
Image,symmetric,0.2,3,19.945987654320987,108.21646022796631,0.9291936033638767,0.9559968835369966,0.9278215933096855,0.9376706934035196,0.9182098765432098,0.8929368351309235,0.9145231715525355,0.8985755591588148
Image,symmetric,0.2,4,19.33641975308642,108.63768672943115,0.9171348639534112,0.9539149668724018,0.9143924395056248,0.9284807567771459,0.9064814814814814,0.8986694953203,0.9266694611260957,0.8965981971760405
Image,symmetric,0.3,0,30.10030864197531,112.22436285018921,0.9216736593325847,0.950189250102235,0.9216722059433992,0.9311783717927397,0.9098765432098765,0.8991067039738162,0.9255335195259944,0.9011036593482995
Image,symmetric,0.3,1,29.390432098765434,108.91942501068115,0.920281542920363,0.9474306925983981,0.9233646901844819,0.9303589752344142,0.9095679012345679,0.9029648432571481,0.9225299739037783,0.9041053670733286
Image,symmetric,0.3,2,29.791666666666668,109.00591087341309,0.9302446041700516,0.9525760621118671,0.9250925366790134,0.935971067653644,0.9157407407407407,0.9026186719152923,0.9281122802478553,0.9077175788413303
Image,symmetric,0.3,3,29.28240740740741,111.23957133293152,0.92850551792868,0.9508381505374199,0.9195752005713835,0.9329729563458278,0.9123456790123456,0.8961918014750074,0.9221621317665882,0.8898519710074912
Image,symmetric,0.3,4,30.277777777777775,111.78774905204773,0.9226312999374364,0.9525412186182098,0.9195284299764878,0.9315669828440446,0.9108024691358024,0.8993632933638557,0.9152125464817832,0.8941192294637494
Image,symmetric,0.4,0,39.513888888888886,113.84427332878113,0.9123693123313836,0.9419351390604428,0.9116957339647871,0.9220000617855378,0.8981481481481481,0.8985318503830557,0.9116538155752331,0.8964923769756783
Image,symmetric,0.4,1,40.08487654320987,110.53659844398499,0.9110062290125038,0.9450184358996523,0.9061841938630895,0.9207362862584153,0.8975308641975308,0.8974427661212083,0.9072770502175416,0.9004166014716644
