model,noise_type,noise_level,fold,train_size,actual_noise_pct,runtime_seconds,accuracy,f1_macro,f1_weighted,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
RF_100k,asymmetric,0.1,0,80000,10.13875,22.872663021087646,0.88945,0.8303340270574286,0.8890030566504087,0.8862667045777651,0.9078624693458786,0.8521939953810623,0.7605633802816901,0.7090909090909091,0.7973856209150327,0.8989751098096632
RF_100k,asymmetric,0.1,1,80000,9.936250000000001,22.628793478012085,0.89215,0.8316079963627706,0.891606000310955,0.8897220060833274,0.9110855081901518,0.8673862760215882,0.78,0.7205623901581723,0.7777777777777778,0.8747220163083765
RF_100k,asymmetric,0.1,2,80000,10.19375,22.763299226760864,0.88815,0.8343496101794436,0.8876594749445527,0.8821481849825957,0.9060607577198339,0.8652751423149905,0.7628865979381443,0.7294938917975567,0.8070175438596491,0.8875651526433358
RF_100k,asymmetric,0.1,3,80000,10.08375,22.811394691467285,0.89095,0.8344566529016083,0.8904897750954093,0.887683744826602,0.9090183957325889,0.8579088471849866,0.7669902912621359,0.7379310344827587,0.7839453458582408,0.8977189109639441
RF_100k,asymmetric,0.1,4,80000,10.10875,23.210415363311768,0.894,0.8380924240008474,0.8933987818322008,0.8901255707762558,0.9102851171816689,0.8679984332158245,0.776255707762557,0.693950177935943,0.8168067226890756,0.9112252384446075
RF_100k,asymmetric,0.2,0,80000,19.885,23.425270557403564,0.86285,0.7776634028646018,0.8634446178281736,0.8660922897196262,0.8871471799196389,0.7618002195389681,0.5882352941176471,0.6861313868613139,0.7725806451612903,0.8816568047337278
RF_100k,asymmetric,0.2,1,80000,20.07125,23.62711811065674,0.8662,0.7852243874226897,0.8667054037379128,0.8699316959744223,0.8905341614906832,0.7763253449527959,0.63003663003663,0.7125220458553791,0.7736625514403292,0.843558282208589
RF_100k,asymmetric,0.2,2,80000,19.92625,23.585440158843994,0.8619,0.7688675706301863,0.8627530808912494,0.8645142482326361,0.8874093212759614,0.7607449856733525,0.5093632958801498,0.7071428571428572,0.7901234567901234,0.8627748294162244
RF_100k,asymmetric,0.2,3,80000,20.09,23.427400588989258,0.86235,0.7780220023803306,0.8632831168662568,0.8660486166873494,0.8868130776110504,0.7576083064804869,0.5597014925373134,0.7275862068965517,0.7820299500831946,0.8663663663663663
RF_100k,asymmetric,0.2,4,80000,20.01875,24.414454460144043,0.86825,0.787778552085851,0.8688739433870527,0.8730772034701465,0.8900580731622574,0.7700729927007299,0.6125461254612546,0.6855123674911661,0.802943581357318,0.8802395209580839
RF_100k,asymmetric,0.3,0,80000,29.898750000000003,24.335742950439453,0.79475,0.671301854411214,0.8016762071569192,0.8168126632856924,0.8363672241132653,0.5505942820430453,0.3275862068965517,0.6292947558770343,0.7354838709677419,0.8029739776951673
RF_100k,asymmetric,0.3,1,80000,30.056250000000002,24.52788543701172,0.80075,0.6875944642363884,0.8074957494454782,0.8252759802055577,0.8378096609243906,0.5682031984948259,0.3813953488372093,0.6534296028880866,0.7362366474938373,0.8108108108108109
RF_100k,asymmetric,0.3,2,80000,30.03125,24.34093737602234,0.79575,0.6767694731117484,0.8037872074262765,0.8214801855936715,0.8368533518859017,0.547867298578199,0.32270916334661354,0.684981684981685,0.7357083678541839,0.7877862595419848
