domain,model,ensemble,noise_type,noise_level,fold,train_size,actual_noise_pct,f1_macro,accuracy,source_file,source_path,who
Tabular,XGBoost,XGBoost,symmetric,0.3,1.0,278885.0,30.04105634939133,0.8587316333130973,0.924915018430602,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.3,2.0,278885.0,29.96503935313839,0.866311738699232,0.9219603849629237,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.3,3.0,278885.0,30.011294978216828,0.8581561945140886,0.922275928342967,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.3,4.0,278885.0,29.930257991645306,0.8481964671097719,0.921530098535592,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.4,0.0,278884.0,40.13138078914531,0.8057826405078286,0.904334356444164,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.4,1.0,278885.0,39.942628682073256,0.8076602686909914,0.904060469585921,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.4,2.0,278885.0,40.06776986930097,0.811250940238956,0.9041895555141206,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.4,3.0,278885.0,40.01111569284831,0.807522566687165,0.9048636709169404,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.4,4.0,278885.0,39.85513742223497,0.8031906341266731,0.9012062362846202,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.0,0.0,278884.0,0.0,0.9359856805469464,0.9620636241071684,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.0,1.0,278885.0,0.0,0.9371227919982108,0.9628519384403552,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.0,2.0,278885.0,0.0,0.937935776536299,0.961403307468338,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.0,3.0,278885.0,0.0,0.9363734112630088,0.9606861634227852,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.0,4.0,278885.0,0.0,0.9337574083899371,0.959954676496321,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.1,0.0,278884.0,10.010255159851408,0.9032224420952076,0.9431312928487422,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.1,1.0,278885.0,10.013804973376123,0.9103305075007664,0.9455257382997948,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
