dataset,condition,fold,actual_noise_pct,n_train,n_flagged,flag_rate_pct,flag_precision,flag_recall,f1_CL_XGB,acc_CL_XGB,seconds
shuttle,asymmetric_10,0,10.158333333333331,24000,2085,8.69,0.7885,0.6743,0.8795578239601959,0.9968333333333332,1.7
shuttle,asymmetric_10,1,10.1625,24000,2188,9.12,0.7628,0.6843,0.9364356642393776,0.9976666666666668,1.7
shuttle,asymmetric_10,2,10.05,24000,2092,8.72,0.794,0.6886,0.9106172844610638,0.9971666666666666,1.7
shuttle,asymmetric_10,3,9.766666666666666,24000,2030,8.46,0.802,0.6945,0.8874006785024278,0.9971666666666666,1.7
shuttle,asymmetric_10,4,10.2875,24000,2246,9.36,0.7801,0.7096,0.9061262415015096,0.9968333333333332,1.7
shuttle,asymmetric_20,0,20.125,24000,4557,18.99,0.684,0.6453,0.8089590440889874,0.9896666666666668,1.6
shuttle,asymmetric_20,1,19.9125,24000,4344,18.1,0.6784,0.6167,0.8166201097728583,0.9891666666666666,1.8
shuttle,asymmetric_20,2,19.4375,24000,4471,18.63,0.692,0.6632,0.7975819823139277,0.9916666666666668,1.6
shuttle,asymmetric_20,3,20.2875,24000,4620,19.25,0.6864,0.6513,0.8093050436311648,0.9898333333333332,1.7
shuttle,asymmetric_20,4,19.8375,24000,4657,19.4,0.6706,0.656,0.7951793920381376,0.9883333333333332,1.6
shuttle,asymmetric_30,0,30.0125,24000,7344,30.6,0.5858,0.5973,0.7217005420321143,0.9626666666666668,1.6
shuttle,asymmetric_30,1,29.50833333333333,24000,7222,30.09,0.5897,0.6014,0.7576982663086458,0.9746666666666668,1.6
shuttle,asymmetric_30,2,30.0375,24000,7171,29.88,0.5918,0.5887,0.7467102461633746,0.9616666666666668,1.6
shuttle,asymmetric_30,3,29.770833333333336,24000,7253,30.22,0.5922,0.6011,0.7485916162176045,0.9665,1.6
shuttle,asymmetric_30,4,30.020833333333336,24000,7276,30.32,0.5793,0.585,0.749281541399766,0.9601666666666666,1.6
shuttle,asymmetric_40,0,39.625,24000,9553,39.8,0.5371,0.5395,0.6520011948354281,0.8611666666666666,1.5
shuttle,asymmetric_40,1,39.90416666666667,24000,10093,42.05,0.5326,0.5613,0.653470553195114,0.8441666666666666,1.5
shuttle,asymmetric_40,2,39.925,24000,10010,41.71,0.528,0.5516,0.6232681825469446,0.8421666666666666,1.5
shuttle,asymmetric_40,3,40.1,24000,9979,41.58,0.5369,0.5567,0.6418341415501353,0.8473333333333334,1.5
shuttle,asymmetric_40,4,40.10416666666667,24000,9906,41.27,0.5347,0.5503,0.6493905661442805,0.8465,1.4
shuttle,clean_0,0,0.0,24000,22,0.09,0.0,,0.9497323002147045,0.999,1.3
shuttle,clean_0,1,0.0,24000,25,0.1,0.0,,0.9595451302237136,0.9991666666666666,1.3
shuttle,clean_0,2,0.0,24000,20,0.08,0.0,,0.9433631823131992,0.9988333333333334,1.3
shuttle,clean_0,3,0.0,24000,14,0.06,0.0,,0.9159502040803406,0.9983333333333332,1.3
shuttle,clean_0,4,0.0,24000,38,0.16,0.0,,0.9493109484123112,0.9986666666666668,1.3
shuttle,pairflip_40,0,39.625,24000,9476,39.48,0.5357,0.5338,0.6517287400840774,0.8798333333333334,1.4
shuttle,pairflip_40,1,39.90416666666667,24000,9909,41.29,0.5288,0.5471,0.6474713012141897,0.857,1.4
shuttle,pairflip_40,2,39.925,24000,9789,40.79,0.5264,0.5378,0.6146057495298233,0.8505,1.4
shuttle,pairflip_40,3,40.1,24000,9779,40.75,0.536,0.5447,0.6471397800254007,0.8666666666666667,1.4
