dataset,condition,fold,method,f1,noise_type,noise_level
drybean,asymmetric_40,1,XGB,0.6380586573424745,asymmetric,40
drybean,asymmetric_40,2,XGB,0.6969763254945978,asymmetric,40
drybean,asymmetric_40,3,XGB,0.6501074567001013,asymmetric,40
drybean,asymmetric_40,4,XGB,0.6798968256177187,asymmetric,40
drybean,clean_0,0,XGB,0.9435978481665622,clean,0
drybean,clean_0,1,XGB,0.941204556902564,clean,0
drybean,clean_0,2,XGB,0.9365374063243656,clean,0
drybean,clean_0,3,XGB,0.9331300031105864,clean,0
drybean,clean_0,4,XGB,0.9447600661622184,clean,0
drybean,pairflip_40,0,XGB,0.8210566653477607,pairflip,40
drybean,pairflip_40,1,XGB,0.7945122707981227,pairflip,40
drybean,pairflip_40,2,XGB,0.8112335343476417,pairflip,40
drybean,pairflip_40,3,XGB,0.788578586364092,pairflip,40
drybean,pairflip_40,4,XGB,0.8010163936684181,pairflip,40
drybean,symmetric_10,0,XGB,0.9440118577355988,symmetric,10
drybean,symmetric_10,1,XGB,0.9377286113258348,symmetric,10
drybean,symmetric_10,2,XGB,0.9307411919662024,symmetric,10
drybean,symmetric_10,3,XGB,0.9305584450048848,symmetric,10
drybean,symmetric_10,4,XGB,0.938515202556224,symmetric,10
drybean,symmetric_20,0,XGB,0.9320059545910618,symmetric,20
drybean,symmetric_20,1,XGB,0.9358921804441048,symmetric,20
drybean,symmetric_20,2,XGB,0.9269973044932068,symmetric,20
drybean,symmetric_20,3,XGB,0.92520513439872,symmetric,20
drybean,symmetric_20,4,XGB,0.9411452094889842,symmetric,20
drybean,symmetric_30,0,XGB,0.9235543978172068,symmetric,30
drybean,symmetric_30,1,XGB,0.91727345425726,symmetric,30
drybean,symmetric_30,2,XGB,0.919404041604359,symmetric,30
drybean,symmetric_30,3,XGB,0.906242820167156,symmetric,30
drybean,symmetric_30,4,XGB,0.9249277978334696,symmetric,30
drybean,symmetric_40,0,XGB,0.901096285427768,symmetric,40
drybean,symmetric_40,1,XGB,0.9037893538652712,symmetric,40
drybean,symmetric_40,2,XGB,0.895254206466023,symmetric,40
